ticket_id,created_at,events__id,channel,author_id,events__author_id,events__type,events__field_name,events__value,events__previous_value,events__body,events__public,events__channel,events__subject,events__from_title
908150,2026-03-18 13:27:18,44892960474769,api,26440502459665,,Change,tags,"ai_n-type, ai_no_subtype, ai_other/no_reason, auto-assigned, n-type, no_subtype, not_found_bo, not_found_cs, not_found_sb, other/no_reason, voc_issues-other, web_widget","auto-assigned, n-type, no_subtype, not_found_bo, not_found_cs, not_found_sb, other/no_reason, web_widget",,,,,
908150,2026-03-18 13:30:43,44893081072785,web,31467436910865,,Change,tags,"ai_n-type, ai_no_subtype, ai_other/no_reason, auto-assigned, no_subtype, not_found_bo, not_found_cs, not_found_sb, other/no_reason, q-type, voc_issues-other, web_widget","ai_n-type, ai_no_subtype, ai_other/no_reason, auto-assigned, n-type, no_subtype, not_found_bo, not_found_cs, not_found_sb, other/no_reason, voc_issues-other, web_widget",,,,,
908150,2026-03-18 20:01:56,44905672117009,rule,-1,,Change,tags,"ai_n-type, ai_no_subtype, ai_other/no_reason, auto-assigned, no_subtype, not_found_bo, not_found_cs, not_found_sb, other/no_reason, q-type, rerequested_csat, voc_issues-other, web_widget","ai_n-type, ai_no_subtype, ai_other/no_reason, auto-assigned, no_subtype, not_found_bo, not_found_cs, not_found_sb, other/no_reason, q-type, voc_issues-other, web_widget",,,,,
